position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender
36,36,Qiu Guanghe,Qiu,qiu-guanghe,qiu-guanghe,3800,64,apparel retail,Fashion and Retail,M
37,37,Sun Piaoyang,Sun,sun-piaoyang,sun-piaoyang,3700,57,pharmaceuticals,Healthcare,M
38,38,Li Shufu,Li,li-shufu,li-shufu,3600,52,automobiles,Automotive,M
39,38,Frank Wang,Wang,frank-wang,frank-wang,3600,35,drones,Technology,M
40,40,Zhang Shiping,Zhang,zhang-shiping,zhang-shiping,3550,68,aluminum products,Metals & Mining,M
41,41,Lu Xiangyang,Lu,lu-xiangyang,lu-xiangyang,3500,52,"automobiles, batteries",Automotive,M
42,41,Pan Zhengmin,Pan,pan-zhengmin,pan-zhengmin,3500,45,electronics,Technology,M
43,41,Wu Yajun,Wu,wu-yajun,wu-yajun,3500,51,real estate,Real Estate,F
44,44,Zhou Guohui,Zhou,zhou-guohui,zhou-guohui,3450,50,logistics,Logistics,M
45,45,Ye Chenghai,Ye,ye-chenghai,ye-chenghai,3350,72,pharmaceuticals,Healthcare,M
46,46,Ma Jianrong,Ma,ma-jianrong,ma-jianrong,3200,51,"textiles, apparel",Fashion and Retail,M
47,46,Wang Yusuo,Wang,wang-yusuo,wang-yusuo,3200,51,natural gas distribution,Energy,M
48,48,Yang Kai,Yang,yang-kai,yang-kai,3180,58,dairy products,Food and Beverage,M
49,49,Shi Yuzhu,Shi,shi-yuzhu,shi-yuzhu,3150,53,"online games, investments",Diversified,M
50,50,Qi Shi,Qi,qi-shi,qi-shi,3100,45,internet portal,Technology,M
51,51,Sit Kwong Lam,Sit,sit-kwong-lam,sit-kwong-lam,3000,47,"oil, transportation",Energy,M
52,51,Yu Yong,Yu,yu-yong,no-pic,3000,54,mining investments,Investments,M
53,53,Jiang Bin,Jiang,jiang-bin,jiang-bin,2950,49,acoustic components,Technology,M
54,54,Wang Changtian,Wang,wang-changtian,wang-changtian,2930,50,"TV, movie production",Media,M
55,55,Chen Fashu,Chen,chen-fashu,chen-fashu,2920,55,"mining, hypermarkets",Diversified,M
56,56,Che Jianxing,Che,che-jianxing,no-pic,2900,49,furniture retailing,Fashion and Retail,M
57,56,Lin Xiucheng,Lin,lin-xiucheng,lin-xiucheng,2900,60,electronics,Technology,M
58,56,Simon Xie,Xie,simon-xie,simon-xie,2900,45,online payment service,Technology,M
59,59,He Qiaonv,He,he-qiaonv,he-qiaonv,2850,49,landscape architecture,Service,F
60,59,Huang Wei,Huang,huang-wei,no-pic,2850,56,diversified,Real Estate,M
61,59,Tse Ping,Tse,tse-ping,tse-ping,2850,63,pharmaceuticals,Healthcare,M
62,62,Fu Liquan,Fu,fu-liquan,no-pic,2800,48,surveillance equipment,Technology,M
63,62,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,64,real estate,Real Estate,M
64,62,Ke Zunhong,Ke,ke-zunhong,no-pic,2800,61,pharmaceuticals,Healthcare,M
65,62,Li Zhongchu,Li,li-zhongchu,no-pic,2800,52,software,Technology,M
66,66,Lu Feng,Lu,lu-feng,lu-feng,2750,,financial information,Media,M
67,67,Huang Wenji,Huang,huang-wenji,no-pic,2700,46,umbrellas,Manufacturing,M
68,67,Liang Xinjun,Liang,liang-xinjun,liang-xinjun,2700,47,conglomerate,Diversified,M
69,67,Qin Yinglin,Qin,qin-yinglin,qin-yinglin,2700,50,pig breeding,Food and Beverage,M
70,67,Wang Jing,Wang,wang-jing,wang-jing,2700,42,telecom services,Telecom,M
71,67,Zhang Xin,Zhang,zhang-xin,zhang-xin,2700,50,real estate,Real Estate,F
72,72,Cai Dongqing,Cai,cai-dongqing-2,cai-dongqing-2,2650,46,animation,Media,M
73,72,Liu Xiaodong,Liu,liu-xiaodong,no-pic,2650,48,flavorings,Manufacturing,M
74,74,Sze Man Bok,Sze,sze-man-bok,sze-man-bok,2600,65,hygiene products,Manufacturing,M
75,74,Zhou Yifeng,Zhou,zhou-yifeng-1,no-pic,2600,46,chemicals,Manufacturing,M
76,76,Liu Zhongtian,Liu,liu-zhongtian,liu-zhongtian,2550,51,aluminum products,Manufacturing,M
77,76,Shen Guojun,Shen,shen-guojun,shen-guojun,2550,53,retail,Fashion and Retail,M
78,76,Song Zuowen,Song,song-zuowen,song-zuowen,2550,68,"aluminum, diversified",Diversified,M
79,79,Hui Lin Chit,Hui,hui-lin-chit,hui-lin-chit,2500,62,hygiene products,Manufacturing,M
80,79,Li Li,Li,li-li-2,li-li-2,2500,51,pharmaceuticals,Healthcare,M
81,81,Wang Wenjing,Wang,wang-wenjing,wang-wenjing,2450,50,enterprise software,Technology,M
82,81,Zhou Chengjian,Zhou,zhou-chengjian,zhou-chengjian,2450,50,apparel retail,Fashion and Retail,M
83,83,Chen Jianhua,Chen,chen-jianhua,chen-jianhua,2400,44,chemicals,Manufacturing,M
84,83,Wang Xing,Wang,wang-xing,wang-xing,2400,42,e-commerce,Technology,M
85,83,Wu Guangming,Wu,wu-guangming,wu-guangming,2400,53,medical equipment,Healthcare,M
86,83,Xiong Xuqiang,Xiong,xiong-xuqiang,xiong-xuqiang,2400,59,real estate,Real Estate,M
87,87,Jiang Wei,Jiang,jiang-wei,jiang-wei,2300,53,pharmaceuticals,Healthcare,M
88,87,Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,2300,51,conglomerate,Diversified,M
89,89,Du Jiangtao,Du,du-jiangtao,du-jiangtao,2250,46,chemicals,Manufacturing,M
90,90,Cai Kui,Cai,cai-kui,cai-kui,2200,52,real estate,Real Estate,M
91,91,Zhou Yahui,Zhou,zhou-yahui-1,no-pic,2180,38,online games,Technology,M
92,92,Ma Xingtian,Ma,ma-xingtian,ma-xingtian,2150,46,pharmaceuticals,Medicine,M
93,92,Shen Wenrong,Shen,shen-wenrong,shen-wenrong,2150,69,steel production,Metals & Mining,M
